451,MD首抽 ROOT,閱讀這篇文之前，如果你不知道ROOT是什麼的話，請先輸入「MD首抽-RTEXP」了解。\n\n基本上，ROOT手機都是依照以下步驟做的:\nADB(檢查連線)→FASTBOOT(刷入RECOVERY)→卡刷(SD卡放入ROOT的包，然後使用剛剛刷入的RECOVERY開啟)→完成\n也就是說，ROOT刷入的都是兩個東西→RECOVERY、SUPERSU(或其他同類的ROOT包)\n比較特別的是，SAMSUNG手機，可以使用ODIN完成刷入RECOVERY、SUPERSU的手續。詳細ROOT說明及教學請參閱 https://goo.gl/r4fIzS。\n其他廠牌手機大部分都參閱第一段所述的方法在刷，因文字限制，此處不提供刷機方法，請使用者自行GOOGLE。GOOGLE時，可以使用以下關鍵字組合，會比較好找【(廠牌) (手機型號，例如DESIRE 816) ROOT】。
441,MD引繼,https://forum.gamer.com.tw/C.php?bsn=30599&snA=415&tnum=2
459,MD交易社團,SAOMD交易社團\nhttps://www.facebook.com/groups/sao.md.exchange/
421,MD突破方向,https://m.gamer.com.tw/forum/C.php?bsn=30599&page=&snA=5896&last=
458,MD交易,SAOMD交易社團\nhttps://www.facebook.com/groups/sao.md.exchange/
453,MD課金,課金步驟請閱讀這篇: https://goo.gl/8yYUFZ\n\n另外，日版的話完全按照這篇文的教學就可以，國際板的話，因為不適用日帳，用類似方法申請G美帳，點卡購買USD(美金)即可，其他方法亦同。
463,MD突破,https://m.gamer.com.tw/forum/C.php?bsn=30599&page=&snA=5896
462,MD裝備選擇,https://forum.gamer.com.tw/C.php?bsn=30599&snA=4250&tnum=3
466,來點亞絲娜轉換心情,https://i.imgur.com/b54jIOT.jpg
464,CRFB,https://www.facebook.com/groups/sao.cr/
465,聖母聖詠,https://i.imgur.com/I2cJg2N.jpg
472,MD精華圖,https://i.imgur.com/XJXnS4b.jpg
474,MD火力計算,https://ratsounds.github.io/saomddc/\n新版火力計算
467,來點有紀轉換心情,https://i.imgur.com/SEn9XDZ.jpg
535,MD交易,SAOMD交易社團\nhttps://www.facebook.com/groups/sao.md.exchange/
536,MD交易社團,SAOMD交易社團\nhttps://www.facebook.com/groups/sao.md.exchange/
